Einfache Kategorien,Schwierige Kategorien
"""Historisch""","""Mural"" "
"""INRI""","""Anno/Erbaut"""
"""Hier sieht man ..""","""Graffito/Graffiti"" falsch geschrieben"
"""Bitte Standort x nehmen""","""Erfüllt alle Kriterien"""
"""Jung & Alt / Groß & Klein""",Alliteration (3+ Wörter)
"""Kein Privatgrundstück""",Wort in ALL CAPS
"""Danke für die Bewertung"" / ""Danke""",Link in Zusatzinfo
"""Lädt zum Verweilen ein""",(Passiv-) aggressive Zusatzinfo
PokéStop-Variation,Platzhalter-Texte
3x gleicher Text,Emoji/Emoticon
Beschreibung mit einem Wort,Texte in verschiedenen Sprachen
Wort mit 12+ Buchstaben,Standort-Edits (4+ Standorte) 
Verweis auf die Kriterien,Foto-Edits (3+ Bilder)
Anführungszeichen im Text,Spielplatz mit 2+ Wayspots 
Wayfarer-Referenz,Aktuelles Streetview (bis 1 Jahr)
Referenz zu einem Niantic-Spiel,Ort mit 10+ Buchstaben 
"""Unnötiger"" Edit",Spiegelung des Fotografen
Rechtschreibungs-Edit,Foto mit Wasserzeichen
Leere Duplikatsleiste,Geotag im Zusatzbild
Duplikat,Foto aus Auto/Gebäude
Haupt- & Zusatzbild gleich,Bildschirmfoto/Screenshot
Schatten auf dem Wayspot,Finger vor der Linse
Schlechte Ausrichtung,Fuß/Schuh im Bild
Rangezoomt,Lebendiges Tier im Bild
Nummernschild erkennbar,Baum verdeckt Wayspot
Wayspot auf Schul-/Kindergartengelände,Wayspot im Wasser
Nutzloses Umgebungsfoto,Objekt im Kreisel
Stromkasten,Wegweiser zum Objekt
Aussichtspunkt,Gedenkplakette bei einem Straßenschild
Sportplatz,Sonnenuhr
Vereinsheim,Gullydeckel
Spielplatz,Museum
Tischtennisplatte,Litfaßsäule
Feuerwehr(-Gedenkstein),Maibaum
Baumarktlöwe,Grenzstein/OD-Stein/Kilometerstein
Stolperstein,Kaugummi/Zigaretten-Automat
Generisches Straßenschild,Schützenkönig/in-Scheibe
Sitzbank,Post-/Briefkasten
Brunnen/Wasserpumpe,Fitnessstation 
Gefallenendenkmal,Saisonale Deko
Skulptur/Statue,
Kleingartenverein,
Insektenhotel,
Wanderwegweiser,
Naturmerkmal,
Wanderwegweiser,
Radwegweiser,
Kirche,
Schule/Kindergarten,
Fahrrad im Bild,
Wanderkarte/Ortskarte ,
Name des Spielgeräts im Titel,
Willkommensschild,
Objekt auf Friedhof/Friedhof,
Wandbild/Garagenbild,
Geschäft/Bäcker/Supermarkt,
Restaurant/Kneipe/Gaststätte,
Schild eines Lehrpfads,
Schutzhütte/Hütte,